国家,字数,句数,平均每句字数,位置,气候,宗教,疆域
跋禄羯呫婆国,113,9,12.55555556,83703.5,温暑,一般,较小
摩腊婆国,880,52,16.92307692,84200.0,无记载,一般,大
契吒国,90,7,12.85714286,84685.0,无记载,繁荣,较大
伐腊毗国,313,16,19.5625,84886.5,和畅,繁荣,大
阿难陁补罗国,96,8,12.0,85091.0,无记载,一般,较小
苏剌侘国,180,15,12.0,85229.0,和畅,繁荣,较大
瞿折罗国,118,9,13.11111111,85378.0,和畅,一般,大
邬阇衍那国,118,10,11.8,85496.0,和畅,繁荣,大
掷枳陁国,111,9,12.33333333,85610.5,和畅,繁荣,较大
摩醯湿伐罗补罗国,96,7,13.71428571,85714.0,和畅,一般,较大
信度国,444,23,19.30434783,85984.0,无记载,繁荣,大
茂罗三部户国,201,16,12.5625,86306.5,无记载,式微,较大
钵伐多国,191,15,12.73333333,86502.5,和畅,繁荣,大
阿点婆翅罗国,233,16,14.5625,86714.5,风寒,繁荣,大
狼揭罗国,175,14,12.5,86918.5,风寒,繁荣,大
波剌斯国,300,21,14.28571429,87156.0,和畅,一般,大
臂多势罗国,211,15,14.06666667,87411.5,风寒,繁荣,较大
阿軬荼囯,283,18,15.72222222,87658.5,风寒,繁荣,较小
伐剌拿国,212,14,15.14285714,87906.0,风寒,式微,较大
漕矩吒国,381,23,16.56521739,88202.5,风寒,繁荣,大
弗栗恃萨傥那国,222,15,14.8,88504.0,风寒,式微,大
安呾罗缚国,128,10,12.8,88679.0,风寒,式微,较大
阔悉多国,81,8,10.125,88783.5,风寒,无记载,小
活国,197,14,14.07142857,88922.5,和畅,一般,较小
瞢建国,46,5,9.2,89044.0,无记载,无记载,小
阿利尼国,45,4,11.25,89089.5,无记载,无记载,小
曷逻胡国,64,4,16.0,89144.0,无记载,无记载,小
讫栗瑟摩国,56,4,14.0,89204.0,无记载,无记载,较大
钵利曷国,63,4,15.75,89263.5,无记载,无记载,小
呬摩呾罗国,186,13,14.30769231,89388.0,风寒,无记载,较大
钵铎创那国,108,9,12.0,89535.0,风寒,式微,较小
